# t Exacta Euler Taylor2 Trapecio
0.0000000000 0.0100000000 0.0100000000 0.0100000000 0.0100000000
0.5000000000 0.0109895052 0.0109900000 0.0109895050 0.0109895052
1.0000000000 0.0119780213 0.0119790100 0.0119780210 0.0119780215
1.5000000000 0.0129655495 0.0129670310 0.0129655490 0.0129655497
2.0000000000 0.0139520905 0.0139540640 0.0139520899 0.0139520909
2.5000000000 0.0149376456 0.0149401099 0.0149376448 0.0149376460
3.0000000000 0.0159222156 0.0159251698 0.0159222146 0.0159222161
3.5000000000 0.0169058015 0.0169092446 0.0169058003 0.0169058021
4.0000000000 0.0178884043 0.0178923354 0.0178884030 0.0178884050
4.5000000000 0.0188700250 0.0188744430 0.0188700235 0.0188700258
5.0000000000 0.0198506646 0.0198555686 0.0198506630 0.0198506654
5.5000000000 0.0208303240 0.0208357130 0.0208303222 0.0208303249
6.0000000000 0.0218090043 0.0218148773 0.0218090023 0.0218090052
6.5000000000 0.0227867063 0.0227930624 0.0227867042 0.0227867074
7.0000000000 0.0237634312 0.0237702694 0.0237634289 0.0237634323
7.5000000000 0.0247391798 0.0247464991 0.0247391774 0.0247391810
8.0000000000 0.0257139531 0.0257217526 0.0257139505 0.0257139544
8.5000000000 0.0266877522 0.0266960308 0.0266877495 0.0266877536
9.0000000000 0.0276605780 0.0276693348 0.0276605750 0.0276605794
9.5000000000 0.0286324314 0.0286416655 0.0286324283 0.0286324329
10.0000000000 0.0296033134 0.0296130238 0.0296033102 0.0296033150
10.5000000000 0.0305732251 0.0305834108 0.0305732217 0.0305732268
11.0000000000 0.0315421673 0.0315528274 0.0315421637 0.0315421691
11.5000000000 0.0325101411 0.0325212746 0.0325101374 0.0325101429
12.0000000000 0.0334771473 0.0334887533 0.0334771435 0.0334771493
12.5000000000 0.0344431871 0.0344552645 0.0344431831 0.0344431891
13.0000000000 0.0354082613 0.0354208093 0.0354082571 0.0354082634
13.5000000000 0.0363723709 0.0363853885 0.0363723666 0.0363723731
14.0000000000 0.0373355169 0.0373490031 0.0373355124 0.0373355191
14.5000000000 0.0382977002 0.0383116541 0.0382976955 0.0382977025
15.0000000000 0.0392589218 0.0392733424 0.0392589170 0.0392589242
15.5000000000 0.0402191827 0.0402340691 0.0402191777 0.0402191851
16.0000000000 0.0411784837 0.0411938350 0.0411784786 0.0411784863
16.5000000000 0.0421368260 0.0421526412 0.0421368207 0.0421368286
17.0000000000 0.0430942104 0.0431104885 0.0430942050 0.0430942131
17.5000000000 0.0440506379 0.0440673780 0.0440506323 0.0440506407
18.0000000000 0.0450061095 0.0450233107 0.0450061037 0.0450061123
18.5000000000 0.0459606260 0.0459782873 0.0459606201 0.0459606289
19.0000000000 0.0469141885 0.0469323091 0.0469141825 0.0469141915
19.5000000000 0.0478667979 0.0478853767 0.0478667918 0.0478668010
20.0000000000 0.0488184552 0.0488374914 0.0488184489 0.0488184584
20.5000000000 0.0497691614 0.0497886539 0.0497691549 0.0497691646
21.0000000000 0.0507189172 0.0507388652 0.0507189106 0.0507189206
21.5000000000 0.0516677238 0.0516881264 0.0516677170 0.0516677272
22.0000000000 0.0526155821 0.0526364382 0.0526155751 0.0526155856
22.5000000000 0.0535624930 0.0535838018 0.0535624859 0.0535624965
23.0000000000 0.0545084574 0.0545302180 0.0545084502 0.0545084611
23.5000000000 0.0554534764 0.0554756878 0.0554534690 0.0554534801
24.0000000000 0.0563975508 0.0564202121 0.0563975432 0.0563975546
24.5000000000 0.0573406816 0.0573637919 0.0573406739 0.0573406854
25.0000000000 0.0582828697 0.0583064281 0.0582828619 0.0582828737
25.5000000000 0.0592241162 0.0592481217 0.0592241082 0.0592241202
26.0000000000 0.0601644218 0.0601888735 0.0601644137 0.0601644259
26.5000000000 0.0611037876 0.0611286847 0.0611037793 0.0611037918
27.0000000000 0.0620422146 0.0620675560 0.0620422061 0.0620422188
27.5000000000 0.0629797035 0.0630054884 0.0629796949 0.0629797078
28.0000000000 0.0639162555 0.0639424829 0.0639162467 0.0639162598
28.5000000000 0.0648518713 0.0648785404 0.0648518624 0.0648518758
29.0000000000 0.0657865520 0.0658136619 0.0657865430 0.0657865566
29.5000000000 0.0667202985 0.0667478482 0.0667202894 0.0667203031
30.0000000000 0.0676531118 0.0676811004 0.0676531024 0.0676531164
30.5000000000 0.0685849926 0.0686134193 0.0685849831 0.0685849974
31.0000000000 0.0695159421 0.0695448059 0.0695159325 0.0695159469
31.5000000000 0.0704459610 0.0704752611 0.0704459513 0.0704459659
32.0000000000 0.0713750505 0.0714047858 0.0713750406 0.0713750554
32.5000000000 0.0723032113 0.0723333810 0.0723032012 0.0723032163
33.0000000000 0.0732304444 0.0732610476 0.0732304341 0.0732304494
33.5000000000 0.0741567507 0.0741877866 0.0741567403 0.0741567558
