x,y,V_num,V_exact
3.0769230769e-02,1.5384615385e-02,1.0004734920e+00,1.0004734848e+00
6.1538461538e-02,1.5384615385e-02,1.0009472083e+00,1.0009471939e+00
9.2307692308e-02,1.5384615385e-02,1.0014211488e+00,1.0014211272e+00
1.2307692308e-01,1.5384615385e-02,1.0018953139e+00,1.0018952849e+00
1.5384615385e-01,1.5384615385e-02,1.0023697035e+00,1.0023696671e+00
1.8461538462e-01,1.5384615385e-02,1.0028443179e+00,1.0028442740e+00
2.1538461538e-01,1.5384615385e-02,1.0033191571e+00,1.0033191055e+00
2.4615384615e-01,1.5384615385e-02,1.0037942214e+00,1.0037941619e+00
2.7692307692e-01,1.5384615385e-02,1.0042695108e+00,1.0042694432e+00
3.0769230769e-01,1.5384615385e-02,1.0047450256e+00,1.0047449496e+00
3.3846153846e-01,1.5384615385e-02,1.0052207658e+00,1.0052206811e+00
3.6923076923e-01,1.5384615385e-02,1.0056967316e+00,1.0056966379e+00
4.0000000000e-01,1.5384615385e-02,1.0061729233e+00,1.0061728200e+00
4.3076923077e-01,1.5384615385e-02,1.0066493409e+00,1.0066492275e+00
4.6153846154e-01,1.5384615385e-02,1.0071259846e+00,1.0071258607e+00
4.9230769231e-01,1.5384615385e-02,1.0076028546e+00,1.0076027195e+00
5.2307692308e-01,1.5384615385e-02,1.0080799510e+00,1.0080798041e+00
5.5384615385e-01,1.5384615385e-02,1.0085572741e+00,1.0085571146e+00
5.8461538462e-01,1.5384615385e-02,1.0090348240e+00,1.0090346511e+00
6.1538461538e-01,1.5384615385e-02,1.0095126008e+00,1.0095124137e+00
6.4615384615e-01,1.5384615385e-02,1.0099906048e+00,1.0099904026e+00
6.7692307692e-01,1.5384615385e-02,1.0104688361e+00,1.0104686177e+00
7.0769230769e-01,1.5384615385e-02,1.0109472948e+00,1.0109470593e+00
7.3846153846e-01,1.5384615385e-02,1.0114259813e+00,1.0114257274e+00
7.6923076923e-01,1.5384615385e-02,1.0119048955e+00,1.0119046221e+00
8.0000000000e-01,1.5384615385e-02,1.0123840378e+00,1.0123837436e+00
8.3076923077e-01,1.5384615385e-02,1.0128634082e+00,1.0128630920e+00
8.6153846154e-01,1.5384615385e-02,1.0133430069e+00,1.0133426673e+00
8.9230769231e-01,1.5384615385e-02,1.0138228340e+00,1.0138224697e+00
9.2307692308e-01,1.5384615385e-02,1.0143028898e+00,1.0143024993e+00
9.5384615385e-01,1.5384615385e-02,1.0147831743e+00,1.0147827561e+00
9.8461538462e-01,1.5384615385e-02,1.0152636876e+00,1.0152632404e+00
1.0153846154e+00,1.5384615385e-02,1.0157444299e+00,1.0157439521e+00
1.0461538462e+00,1.5384615385e-02,1.0162254012e+00,1.0162248915e+00
1.0769230769e+00,1.5384615385e-02,1.0167066017e+00,1.0167060586e+00
1.1076923077e+00,1.5384615385e-02,1.0171880313e+00,1.0171874535e+00
1.1384615385e+00,1.5384615385e-02,1.0176696901e+00,1.0176690763e+00
1.1692307692e+00,1.5384615385e-02,1.0181515782e+00,1.0181509272e+00
1.2000000000e+00,1.5384615385e-02,1.0186336955e+00,1.0186330062e+00
1.2307692308e+00,1.5384615385e-02,1.0191160419e+00,1.0191153135e+00
1.2615384615e+00,1.5384615385e-02,1.0195986173e+00,1.0195978492e+00
1.2923076923e+00,1.5384615385e-02,1.0200814218e+00,1.0200806133e+00
1.3230769231e+00,1.5384615385e-02,1.0205644549e+00,1.0205636060e+00
1.3538461538e+00,1.5384615385e-02,1.0210477167e+00,1.0210468274e+00
1.3846153846e+00,1.5384615385e-02,1.0215312067e+00,1.0215302776e+00
1.4153846154e+00,1.5384615385e-02,1.0220149247e+00,1.0220139567e+00
1.4461538462e+00,1.5384615385e-02,1.0224988702e+00,1.0224978648e+00
1.4769230769e+00,1.5384615385e-02,1.0229830428e+00,1.0229820020e+00
1.5076923077e+00,1.5384615385e-02,1.0234674420e+00,1.0234663685e+00
1.5384615385e+00,1.5384615385e-02,1.0239520671e+00,1.0239509643e+00
1.5692307692e+00,1.5384615385e-02,1.0244369174e+00,1.0244357896e+00
1.6000000000e+00,1.5384615385e-02,1.0249219921e+00,1.0249208444e+00
1.6307692308e+00,1.5384615385e-02,1.0254072902e+00,1.0254061289e+00
1.6615384615e+00,1.5384615385e-02,1.0258928106e+00,1.0258916431e+00
1.6923076923e+00,1.5384615385e-02,1.0263785521e+00,1.0263773873e+00
1.7230769231e+00,1.5384615385e-02,1.0268645132e+00,1.0268633614e+00
1.7538461538e+00,1.5384615385e-02,1.0273506923e+00,1.0273495656e+00
1.7846153846e+00,1.5384615385e-02,1.0278370874e+00,1.0278360001e+00
1.8153846154e+00,1.5384615385e-02,1.0283236959e+00,1.0283226648e+00
1.8461538462e+00,1.5384615385e-02,1.0288105150e+00,1.0288095600e+00
1.8769230769e+00,1.5384615385e-02,1.0292975405e+00,1.0292966858e+00
1.9076923077e+00,1.5384615385e-02,1.0297847668e+00,1.0297840421e+00
1.9384615385e+00,1.5384615385e-02,1.0302721849e+00,1.0302716293e+00
1.9692307692e+00,1.5384615385e-02,1.0307597771e+00,1.0307594473e+00
3.0769230769e-02,3.0769230769e-02,1.0009472082e+00,1.0009471939e+00
6.1538461538e-02,3.0769230769e-02,1.0018953137e+00,1.0018952849e+00
9.2307692308e-02,3.0769230769e-02,1.0028443172e+00,1.0028442740e+00
1.2307692308e-01,3.0769230769e-02,1.0037942198e+00,1.0037941619e+00
1.5384615385e-01,3.0769230769e-02,1.0047450223e+00,1.0047449496e+00
1.8461538462e-01,3.0769230769e-02,1.0056967256e+00,1.0056966379e+00
2.1538461538e-01,3.0769230769e-02,1.0066493306e+00,1.0066492275e+00
2.4615384615e-01,3.0769230769e-02,1.0076028384e+00,1.0076027195e+00
2.7692307692e-01,3.0769230769e-02,1.0085572497e+00,1.0085571146e+00
3.0769230769e-01,3.0769230769e-02,1.0095125656e+00,1.0095124137e+00
3.3846153846e-01,3.0769230769e-02,1.0104687869e+00,1.0104686177e+00
3.6923076923e-01,3.0769230769e-02,1.0114259148e+00,1.0114257274e+00
4.0000000000e-01,3.0769230769e-02,1.0123839500e+00,1.0123837436e+00
4.3076923077e-01,3.0769230769e-02,1.0133428937e+00,1.0133426673e+00
4.6153846154e-01,3.0769230769e-02,1.0143027467e+00,1.0143024993e+00
4.9230769231e-01,3.0769230769e-02,1.0152635101e+00,1.0152632404e+00
5.2307692308e-01,3.0769230769e-02,1.0162251848e+00,1.0162248915e+00
5.5384615385e-01,3.0769230769e-02,1.0171877718e+00,1.0171874535e+00
5.8461538462e-01,3.0769230769e-02,1.0181512721e+00,1.0181509272e+00
6.1538461538e-01,3.0769230769e-02,1.0191156867e+00,1.0191153135e+00
