x,y,V_num,V_exact
  3.07692308E-02,  1.53846154E-02,  1.00047349E+00,  1.00047348E+00
  6.15384615E-02,  1.53846154E-02,  1.00094721E+00,  1.00094719E+00
  9.23076923E-02,  1.53846154E-02,  1.00142115E+00,  1.00142113E+00
  1.23076923E-01,  1.53846154E-02,  1.00189531E+00,  1.00189528E+00
  1.53846154E-01,  1.53846154E-02,  1.00236970E+00,  1.00236967E+00
  1.84615385E-01,  1.53846154E-02,  1.00284432E+00,  1.00284427E+00
  2.15384615E-01,  1.53846154E-02,  1.00331916E+00,  1.00331911E+00
  2.46153846E-01,  1.53846154E-02,  1.00379422E+00,  1.00379416E+00
  2.76923077E-01,  1.53846154E-02,  1.00426951E+00,  1.00426944E+00
  3.07692308E-01,  1.53846154E-02,  1.00474503E+00,  1.00474495E+00
  3.38461538E-01,  1.53846154E-02,  1.00522077E+00,  1.00522068E+00
  3.69230769E-01,  1.53846154E-02,  1.00569673E+00,  1.00569664E+00
  4.00000000E-01,  1.53846154E-02,  1.00617292E+00,  1.00617282E+00
  4.30769231E-01,  1.53846154E-02,  1.00664934E+00,  1.00664923E+00
  4.61538462E-01,  1.53846154E-02,  1.00712598E+00,  1.00712586E+00
  4.92307692E-01,  1.53846154E-02,  1.00760285E+00,  1.00760272E+00
  5.23076923E-01,  1.53846154E-02,  1.00807995E+00,  1.00807980E+00
  5.53846154E-01,  1.53846154E-02,  1.00855727E+00,  1.00855711E+00
  5.84615385E-01,  1.53846154E-02,  1.00903482E+00,  1.00903465E+00
  6.15384615E-01,  1.53846154E-02,  1.00951260E+00,  1.00951241E+00
  6.46153846E-01,  1.53846154E-02,  1.00999060E+00,  1.00999040E+00
  6.76923077E-01,  1.53846154E-02,  1.01046884E+00,  1.01046862E+00
  7.07692308E-01,  1.53846154E-02,  1.01094729E+00,  1.01094706E+00
  7.38461538E-01,  1.53846154E-02,  1.01142598E+00,  1.01142573E+00
  7.69230769E-01,  1.53846154E-02,  1.01190490E+00,  1.01190462E+00
  8.00000000E-01,  1.53846154E-02,  1.01238404E+00,  1.01238374E+00
  8.30769231E-01,  1.53846154E-02,  1.01286341E+00,  1.01286309E+00
  8.61538462E-01,  1.53846154E-02,  1.01334301E+00,  1.01334267E+00
  8.92307692E-01,  1.53846154E-02,  1.01382283E+00,  1.01382247E+00
  9.23076923E-01,  1.53846154E-02,  1.01430289E+00,  1.01430250E+00
  9.53846154E-01,  1.53846154E-02,  1.01478317E+00,  1.01478276E+00
  9.84615385E-01,  1.53846154E-02,  1.01526369E+00,  1.01526324E+00
  1.01538462E+00,  1.53846154E-02,  1.01574443E+00,  1.01574395E+00
  1.04615385E+00,  1.53846154E-02,  1.01622540E+00,  1.01622489E+00
  1.07692308E+00,  1.53846154E-02,  1.01670660E+00,  1.01670606E+00
  1.10769231E+00,  1.53846154E-02,  1.01718803E+00,  1.01718745E+00
  1.13846154E+00,  1.53846154E-02,  1.01766969E+00,  1.01766908E+00
  1.16923077E+00,  1.53846154E-02,  1.01815158E+00,  1.01815093E+00
  1.20000000E+00,  1.53846154E-02,  1.01863370E+00,  1.01863301E+00
  1.23076923E+00,  1.53846154E-02,  1.01911604E+00,  1.01911531E+00
  1.26153846E+00,  1.53846154E-02,  1.01959862E+00,  1.01959785E+00
  1.29230769E+00,  1.53846154E-02,  1.02008142E+00,  1.02008061E+00
  1.32307692E+00,  1.53846154E-02,  1.02056445E+00,  1.02056361E+00
  1.35384615E+00,  1.53846154E-02,  1.02104772E+00,  1.02104683E+00
  1.38461538E+00,  1.53846154E-02,  1.02153121E+00,  1.02153028E+00
  1.41538462E+00,  1.53846154E-02,  1.02201492E+00,  1.02201396E+00
  1.44615385E+00,  1.53846154E-02,  1.02249887E+00,  1.02249786E+00
  1.47692308E+00,  1.53846154E-02,  1.02298304E+00,  1.02298200E+00
  1.50769231E+00,  1.53846154E-02,  1.02346744E+00,  1.02346637E+00
  1.53846154E+00,  1.53846154E-02,  1.02395207E+00,  1.02395096E+00
  1.56923077E+00,  1.53846154E-02,  1.02443692E+00,  1.02443579E+00
  1.60000000E+00,  1.53846154E-02,  1.02492199E+00,  1.02492084E+00
  1.63076923E+00,  1.53846154E-02,  1.02540729E+00,  1.02540613E+00
  1.66153846E+00,  1.53846154E-02,  1.02589281E+00,  1.02589164E+00
  1.69230769E+00,  1.53846154E-02,  1.02637855E+00,  1.02637739E+00
  1.72307692E+00,  1.53846154E-02,  1.02686451E+00,  1.02686336E+00
  1.75384615E+00,  1.53846154E-02,  1.02735069E+00,  1.02734957E+00
  1.78461538E+00,  1.53846154E-02,  1.02783709E+00,  1.02783600E+00
  1.81538462E+00,  1.53846154E-02,  1.02832370E+00,  1.02832266E+00
  1.84615385E+00,  1.53846154E-02,  1.02881051E+00,  1.02880956E+00
  1.87692308E+00,  1.53846154E-02,  1.02929754E+00,  1.02929669E+00
  1.90769231E+00,  1.53846154E-02,  1.02978477E+00,  1.02978404E+00
  1.93846154E+00,  1.53846154E-02,  1.03027218E+00,  1.03027163E+00
  1.96923077E+00,  1.53846154E-02,  1.03075978E+00,  1.03075945E+00
  3.07692308E-02,  3.07692308E-02,  1.00094721E+00,  1.00094719E+00
  6.15384615E-02,  3.07692308E-02,  1.00189531E+00,  1.00189528E+00
  9.23076923E-02,  3.07692308E-02,  1.00284432E+00,  1.00284427E+00
  1.23076923E-01,  3.07692308E-02,  1.00379422E+00,  1.00379416E+00
  1.53846154E-01,  3.07692308E-02,  1.00474502E+00,  1.00474495E+00
  1.84615385E-01,  3.07692308E-02,  1.00569673E+00,  1.00569664E+00
  2.15384615E-01,  3.07692308E-02,  1.00664933E+00,  1.00664923E+00
  2.46153846E-01,  3.07692308E-02,  1.00760284E+00,  1.00760272E+00
  2.76923077E-01,  3.07692308E-02,  1.00855725E+00,  1.00855711E+00
  3.07692308E-01,  3.07692308E-02,  1.00951257E+00,  1.00951241E+00
  3.38461538E-01,  3.07692308E-02,  1.01046879E+00,  1.01046862E+00
  3.69230769E-01,  3.07692308E-02,  1.01142591E+00,  1.01142573E+00
  4.00000000E-01,  3.07692308E-02,  1.01238395E+00,  1.01238374E+00
  4.30769231E-01,  3.07692308E-02,  1.01334289E+00,  1.01334267E+00
  4.61538462E-01,  3.07692308E-02,  1.01430275E+00,  1.01430250E+00
  4.92307692E-01,  3.07692308E-02,  1.01526351E+00,  1.01526324E+00
  5.23076923E-01,  3.07692308E-02,  1.01622518E+00,  1.01622489E+00
  5.53846154E-01,  3.07692308E-02,  1.01718777E+00,  1.01718745E+00
  5.84615385E-01,  3.07692308E-02,  1.01815127E+00,  1.01815093E+00
  6.15384615E-01,  3.07692308E-02,  1.01911569E+00,  1.01911531E+00
  6.46153846E-01,  3.07692308E-02,  1.02008102E+00,  1.02008061E+00
  6.76923077E-01,  3.07692308E-02,  1.02104726E+00,  1.02104683E+00
  7.07692308E-01,  3.07692308E-02,  1.02201443E+00,  1.02201396E+00
  7.38461538E-01,  3.07692308E-02,  1.02298251E+00,  1.02298200E+00
  7.69230769E-01,  3.07692308E-02,  1.02395151E+00,  1.02395096E+00
  8.00000000E-01,  3.07692308E-02,  1.02492143E+00,  1.02492084E+00
  8.30769231E-01,  3.07692308E-02,  1.02589227E+00,  1.02589164E+00
  8.61538462E-01,  3.07692308E-02,  1.02686404E+00,  1.02686336E+00
  8.92307692E-01,  3.07692308E-02,  1.02783673E+00,  1.02783600E+00
  9.23076923E-01,  3.07692308E-02,  1.02881034E+00,  1.02880956E+00
  9.53846154E-01,  3.07692308E-02,  1.02978487E+00,  1.02978404E+00
  9.84615385E-01,  3.07692308E-02,  1.03076034E+00,  1.03075945E+00
  1.01538462E+00,  3.07692308E-02,  1.03173673E+00,  1.03173578E+00
  1.04615385E+00,  3.07692308E-02,  1.03271404E+00,  1.03271303E+00
  1.07692308E+00,  3.07692308E-02,  1.03369229E+00,  1.03369121E+00
  1.10769231E+00,  3.07692308E-02,  1.03467146E+00,  1.03467032E+00
  1.13846154E+00,  3.07692308E-02,  1.03565157E+00,  1.03565035E+00
  1.16923077E+00,  3.07692308E-02,  1.03663260E+00,  1.03663131E+00
  1.20000000E+00,  3.07692308E-02,  1.03761457E+00,  1.03761320E+00
  1.23076923E+00,  3.07692308E-02,  1.03859747E+00,  1.03859602E+00
  1.26153846E+00,  3.07692308E-02,  1.03958130E+00,  1.03957977E+00
  1.29230769E+00,  3.07692308E-02,  1.04056606E+00,  1.04056446E+00
  1.32307692E+00,  3.07692308E-02,  1.04155176E+00,  1.04155007E+00
  1.35384615E+00,  3.07692308E-02,  1.04253839E+00,  1.04253662E+00
  1.38461538E+00,  3.07692308E-02,  1.04352595E+00,  1.04352411E+00
  1.41538462E+00,  3.07692308E-02,  1.04451444E+00,  1.04451253E+00
  1.44615385E+00,  3.07692308E-02,  1.04550387E+00,  1.04550188E+00
  1.47692308E+00,  3.07692308E-02,  1.04649424E+00,  1.04649218E+00
  1.50769231E+00,  3.07692308E-02,  1.04748553E+00,  1.04748341E+00
  1.53846154E+00,  3.07692308E-02,  1.04847776E+00,  1.04847558E+00
  1.56923077E+00,  3.07692308E-02,  1.04947091E+00,  1.04946869E+00
  1.60000000E+00,  3.07692308E-02,  1.05046500E+00,  1.05046274E+00
  1.63076923E+00,  3.07692308E-02,  1.05146002E+00,  1.05145773E+00
  1.66153846E+00,  3.07692308E-02,  1.05245596E+00,  1.05245366E+00
  1.69230769E+00,  3.07692308E-02,  1.05345283E+00,  1.05345054E+00
  1.72307692E+00,  3.07692308E-02,  1.05445063E+00,  1.05444836E+00
  1.75384615E+00,  3.07692308E-02,  1.05544934E+00,  1.05544713E+00
  1.78461538E+00,  3.07692308E-02,  1.05644897E+00,  1.05644684E+00
  1.81538462E+00,  3.07692308E-02,  1.05744952E+00,  1.05744750E+00
  1.84615385E+00,  3.07692308E-02,  1.05845097E+00,  1.05844911E+00
  1.87692308E+00,  3.07692308E-02,  1.05945332E+00,  1.05945167E+00
  1.90769231E+00,  3.07692308E-02,  1.06045657E+00,  1.06045517E+00
  1.93846154E+00,  3.07692308E-02,  1.06146069E+00,  1.06145963E+00
  1.96923077E+00,  3.07692308E-02,  1.06246565E+00,  1.06246504E+00
  3.07692308E-02,  4.61538462E-02,  1.00142115E+00,  1.00142113E+00
  6.15384615E-02,  4.61538462E-02,  1.00284432E+00,  1.00284427E+00
  9.23076923E-02,  4.61538462E-02,  1.00426951E+00,  1.00426944E+00
  1.23076923E-01,  4.61538462E-02,  1.00569672E+00,  1.00569664E+00
  1.53846154E-01,  4.61538462E-02,  1.00712597E+00,  1.00712586E+00
  1.84615385E-01,  4.61538462E-02,  1.00855725E+00,  1.00855711E+00
  2.15384615E-01,  4.61538462E-02,  1.00999056E+00,  1.00999040E+00
  2.46153846E-01,  4.61538462E-02,  1.01142591E+00,  1.01142573E+00
  2.76923077E-01,  4.61538462E-02,  1.01286329E+00,  1.01286309E+00
  3.07692308E-01,  4.61538462E-02,  1.01430273E+00,  1.01430250E+00
  3.38461538E-01,  4.61538462E-02,  1.01574421E+00,  1.01574395E+00
  3.69230769E-01,  4.61538462E-02,  1.01718773E+00,  1.01718745E+00
  4.00000000E-01,  4.61538462E-02,  1.01863332E+00,  1.01863301E+00
  4.30769231E-01,  4.61538462E-02,  1.02008095E+00,  1.02008061E+00
  4.61538462E-01,  4.61538462E-02,  1.02153065E+00,  1.02153028E+00
  4.92307692E-01,  4.61538462E-02,  1.02298241E+00,  1.02298200E+00
  5.23076923E-01,  4.61538462E-02,  1.02443623E+00,  1.02443579E+00
  5.53846154E-01,  4.61538462E-02,  1.02589212E+00,  1.02589164E+00
  5.84615385E-01,  4.61538462E-02,  1.02735008E+00,  1.02734957E+00
  6.15384615E-01,  4.61538462E-02,  1.02881012E+00,  1.02880956E+00
  6.46153846E-01,  4.61538462E-02,  1.03027223E+00,  1.03027163E+00
  6.76923077E-01,  4.61538462E-02,  1.03173643E+00,  1.03173578E+00
  7.07692308E-01,  4.61538462E-02,  1.03320271E+00,  1.03320200E+00
  7.38461538E-01,  4.61538462E-02,  1.03467107E+00,  1.03467032E+00
  7.69230769E-01,  4.61538462E-02,  1.03614153E+00,  1.03614071E+00
  8.00000000E-01,  4.61538462E-02,  1.03761408E+00,  1.03761320E+00
  8.30769231E-01,  4.61538462E-02,  1.03908872E+00,  1.03908778E+00
  8.61538462E-01,  4.61538462E-02,  1.04056547E+00,  1.04056446E+00
  8.92307692E-01,  4.61538462E-02,  1.04204431E+00,  1.04204323E+00
  9.23076923E-01,  4.61538462E-02,  1.04352527E+00,  1.04352411E+00
  9.53846154E-01,  4.61538462E-02,  1.04500833E+00,  1.04500709E+00
  9.84615385E-01,  4.61538462E-02,  1.04649350E+00,  1.04649218E+00
  1.01538462E+00,  4.61538462E-02,  1.04798079E+00,  1.04797937E+00
  1.04615385E+00,  4.61538462E-02,  1.04947020E+00,  1.04946869E+00
  1.07692308E+00,  4.61538462E-02,  1.05096172E+00,  1.05096012E+00
  1.10769231E+00,  4.61538462E-02,  1.05245537E+00,  1.05245366E+00
  1.13846154E+00,  4.61538462E-02,  1.05395115E+00,  1.05394933E+00
  1.16923077E+00,  4.61538462E-02,  1.05544906E+00,  1.05544713E+00
  1.20000000E+00,  4.61538462E-02,  1.05694909E+00,  1.05694705E+00
  1.23076923E+00,  4.61538462E-02,  1.05845126E+00,  1.05844911E+00
  1.26153846E+00,  4.61538462E-02,  1.05995557E+00,  1.05995330E+00
  1.29230769E+00,  4.61538462E-02,  1.06146202E+00,  1.06145963E+00
  1.32307692E+00,  4.61538462E-02,  1.06297060E+00,  1.06296810E+00
