# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  1.00000000000000E-04   1.23247784491831E-02   6.08275743672153E-03   3.77752423482181E-03   1.85303398758992E-05   1.09892800290092E-05   4.84063660552529E-09
  7.60046252890806E-03   2.41022193355669E-02   1.18953083166910E-02   7.38723044059642E-03   7.32983277620547E-05   4.34689405036464E-05   3.85100557894908E-08
  1.51009250578161E-02   3.53515825142319E-02   1.74470888629102E-02   1.08349657390130E-02   1.63109091242416E-04   9.67300733032573E-05   1.29100275922304E-07
  2.26013875867242E-02   4.60915095707503E-02   2.27472342931959E-02   1.41263910961581E-02   2.86814874118850E-04   1.70091515103164E-04   3.03895160959121E-07
  3.01018501156322E-02   5.63400351313820E-02   2.78045842063644E-02   1.72669846309492E-02   4.43312985168696E-04   2.62898641532024E-04   5.89406587589270E-07
  3.76023126445403E-02   6.61145989462644E-02   3.26276883580676E-02   2.02620451670657E-02   6.31544167991210E-04   3.74522408834004E-04   1.01140908066884E-06
  4.51027751734483E-02   7.54320586098345E-02   3.72248127591266E-02   2.31166959866421E-02   8.50491072350191E-04   5.04358454918165E-04   1.59497312569433E-06
  5.26032377023564E-02   8.43087027965226E-02   4.16039460359945E-02   2.58358887482048E-02   1.09917677167678E-03   6.51826227255366E-04   2.36449720899160E-06
  6.01037002312645E-02   9.27602649023916E-02   4.57728059992006E-02   2.84244075351877E-02   1.37666331247471E-03   8.16368129264683E-04   3.34373860693913E-06
  6.76041627601725E-02   1.00801936994959E-01   4.97388463713175E-02   3.08868730048965E-02   1.68205029198153E-03   9.97448683075787E-04   4.55584293944445E-06
  7.51046252890806E-02   1.08448383984000E-01   5.35092636311953E-02   3.32277466110161E-02   2.01447346384558E-03   1.19455370855643E-03   6.02337250313884E-06
  8.26050878179886E-02   1.15713757935752E-01   5.70910039359482E-02   3.54513348757037E-02   2.37310337273891E-03   1.40718951917491E-03   7.76833340194723E-06
  9.01055503468967E-02   1.22611712461752E-01   6.04907700865149E-02   3.75617936899956E-02   2.75714401916273E-03   1.63488213546301E-03   9.81220149538041E-06
  9.76060128758047E-02   1.29155417121491E-01   6.37150285065475E-02   3.95631326237023E-02   3.16583155570652E-03   1.87717651684550E-03   1.21759471875456E-05
  1.05106475404713E-01   1.35357571785376E-01   6.67700162079726E-02   4.14592192281938E-02   3.59843301588806E-03   2.13363581252140E-03   1.48800590822699E-05
  1.12606937933621E-01   1.41230420911064E-01   6.96617477198239E-02   4.32537833174961E-02   4.05424507651445E-03   2.40384063197001E-03   1.79445665318066E-05
  1.20107400462529E-01   1.46785767692219E-01   7.23960219598973E-02   4.49504212149577E-02   4.53259285430054E-03   2.68738833553334E-03   2.13890611083235E-05
