# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.00000000000000e-04   7.77879270562456e-02   3.84132830094440e-02   2.38661342840078e-02   9.21913238101776e-04   5.46714296127076e-04
  5.46702137335152e-02   1.32521478092732e-01   6.54172095278066e-02   4.06390182136683e-02   3.41414123871775e-03   2.02443054048324e-03
  1.09240427467030e-01   1.69552922602134e-01   8.36408161602973e-02   5.19494379255623e-02   7.15634511790389e-03   4.24248013461367e-03
  1.63810641200546e-01   1.92988835884542e-01   9.51040890955876e-02   5.90509290631604e-02   1.19128464086601e-02   7.06006149787588e-03
  2.18380854934061e-01   2.05957828492618e-01   1.01348327954970e-01   6.29004257238460e-02   1.75087325431206e-02   1.03721494725157e-02
  2.72951068667576e-01   2.10837923043667e-01   1.03547175058838e-01   6.42270075533463e-02   2.38123536518863e-02   1.40991666769797e-02
  3.27521282401091e-01   2.09438929631548e-01   1.02595829740407e-01   6.35871694173937e-02   3.07224832914347e-02   1.81794056941604e-02
  3.82091496134607e-01   2.03143905744071e-01   9.91803298217775e-02   6.14077576435388e-02   3.81590672462136e-02   2.25635705883980e-02
  4.36661709868122e-01   1.93016625181774e-01   9.38302253964161e-02   5.80186210917685e-02   4.60566745982967e-02   2.72109161398303e-02
  4.91231923601637e-01   1.79882157748499e-01   8.69580887049573e-02   5.36771048465263e-02   5.43599389515059e-02   3.20865645633315e-02
  5.45802137335152e-01   1.64386792456719e-01   7.88888967930715e-02   4.85862655235923e-02   6.30204385341205e-02   3.71596738822648e-02
  6.00372351068668e-01   1.47042383587860e-01   6.98817690729829e-02   4.29083454468424e-02   7.19946003009253e-02   4.24022124408858e-02
  6.54942564802183e-01   1.28259090461212e-01   6.01460044227039e-02   3.67747108671410e-02   8.12423220697511e-02   4.77881583097436e-02
  7.09512778535698e-01   1.08369537412088e-01   4.98529024831791e-02   3.02931748080394e-02   9.07260904764142e-02   5.32929918416334e-02
  7.64082992269213e-01   8.76466635105379e-02   3.91444839935478e-02   2.35533961009704e-02   1.00410435387013e-01   5.88933868410172e-02
  8.18653206002729e-01   6.63169457535672e-02   2.81399381528030e-02   1.66308684055357e-02   1.10261607813542e-01   6.45670333127810e-02
  8.73223419736244e-01   4.45702359115400e-02   1.69404073905623e-02   9.58987807857854e-03   1.20247402234762e-01   7.02925448422912e-02
  9.27793633469759e-01   2.25671200721069e-02   5.63255721520068e-03   2.48570881079886e-03   1.30337068685489e-01   7.60494181844056e-02
  9.82363847203274e-01   4.44465026081986e-04  -5.70874169631242e-03  -4.63370384041960e-03   1.40501277494175e-01   8.18180230488271e-02
  1.03693406093679e+00  -2.16803643255940e-02  -1.70183806591686e-02  -1.17265199375823e-02   1.50712111977529e-01   8.75796074595067e-02
  1.09150427467030e+00  -4.37062640294038e-02  -2.82394558091992e-02  -1.87560369067540e-02   1.60943073128525e-01   9.33163092571086e-02
  1.14607448840382e+00  -6.55458701151360e-02  -3.93220604034894e-02  -2.56899472131922e-02   1.71169086386840e-01   9.90111679139982e-02
  1.20064470213734e+00  -8.71235710054983e-02  -5.02223348990224e-02  -3.24997550796942e-02   1.81366504713450e-01   1.04648133288883e-01
  1.25521491587085e+00  -1.08373917467443e-01  -6.09017081873720e-02  -3.91603109369453e-02   1.91513104956585e-01   1.10212069591596e-01
  1.30978512960437e+00  -1.29240331119493e-01  -7.13262815562438e-02  -4.56494335989390e-02   2.01588076297256e-01   1.15688753897210e-01
  1.36435534333788e+00  -1.49674039227898e-01  -8.14663201341290e-02  -5.19475983479724e-02   2.11572000691182e-01   1.21064869216721e-01
  1.41892555707140e+00  -1.69633182889706e-01  -9.12958261219609e-02  -5.80376750435550e-02   2.21446825890671e-01   1.26327992524333e-01
  1.47349577080491e+00  -1.89082059734513e-01  -1.00792175024623e-01  -6.39047046587916e-02   2.31195831985479e-01   1.31466578348904e-01
  1.52806598453843e+00  -2.07990472448741e-01  -1.09935801092960e-01  -6.95357057486961e-02   2.40803592552611e-01   1.36469938622920e-01
