# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
1.00000000000000e-04 1.23247784491830e-02 6.08275743672168e-03 3.77752423482174e-03 1.85303398758991e-05 1.09892800290091e-05
7.60046252890806e-03 2.41022193355667e-02 1.18953083166913e-02 7.38723044059630e-03 7.32983277620542e-05 4.34689405036462e-05
1.51009250578161e-02 3.53515825142315e-02 1.74470888629106e-02 1.08349657390129e-02 1.63109091242415e-04 9.67300733032567e-05
2.26013875867242e-02 4.60915095707498e-02 2.27472342931965e-02 1.41263910961579e-02 2.86814874118848e-04 1.70091515103163e-04
3.01018501156322e-02 5.63400351313814e-02 2.78045842063651e-02 1.72669846309489e-02 4.43312985168693e-04 2.62898641532022e-04
3.76023126445403e-02 6.61145989462636e-02 3.26276883580684e-02 2.02620451670654e-02 6.31544167991206e-04 3.74522408834002e-04
4.51027751734483e-02 7.54320586098337e-02 3.72248127591275e-02 2.31166959866417e-02 8.50491072350186e-04 5.04358454918162e-04
5.26032377023564e-02 8.43087027965217e-02 4.16039460359955e-02 2.58358887482044e-02 1.09917677167677e-03 6.51826227255363e-04
6.01037002312645e-02 9.27602649023905e-02 4.57728059992017e-02 2.84244075351872e-02 1.37666331247470e-03 8.16368129264679e-04
6.76041627601725e-02 1.00801936994958e-01 4.97388463713188e-02 3.08868730048960e-02 1.68205029198152e-03 9.97448683075781e-04
7.51046252890806e-02 1.08448383983999e-01 5.35092636311966e-02 3.32277466110155e-02 2.01447346384557e-03 1.19455370855642e-03
8.26050878179886e-02 1.15713757935751e-01 5.70910039359496e-02 3.54513348757031e-02 2.37310337273889e-03 1.40718951917490e-03
9.01055503468967e-02 1.22611712461751e-01 6.04907700865164e-02 3.75617936899949e-02 2.75714401916271e-03 1.63488213546300e-03
9.76060128758047e-02 1.29155417121490e-01 6.37150285065491e-02 3.95631326237016e-02 3.16583155570650e-03 1.87717651684549e-03
1.05106475404713e-01 1.35357571785374e-01 6.67700162079743e-02 4.14592192281930e-02 3.59843301588804e-03 2.13363581252139e-03
1.12606937933621e-01 1.41230420911062e-01 6.96617477198257e-02 4.32537833174954e-02 4.05424507651442e-03 2.40384063196999e-03
1.20107400462529e-01 1.46785767692218e-01 7.23960219598991e-02 4.49504212149569e-02 4.53259285430051e-03 2.68738833553333e-03
1.27607862991437e-01 1.52034988044171e-01 7.49784290314589e-02 4.65525999544022e-02 5.03282873728144e-03 2.98389234540707e-03
1.35108325520345e-01 1.56989044395841e-01 7.74143569296437e-02 4.80636614261979e-02 5.55433125136655e-03 3.29298147725935e-03
1.42608788049253e-01 1.61658499261726e-01 7.97089981444078e-02 4.94868264600105e-02 6.09650396220917e-03 3.61429929259343e-03
1.50109250578161e-01 1.66053528571718e-01 8.18673561488047e-02 5.08251988372656e-02 6.65877441240999e-03 3.94750347187680e-03
1.57609713107069e-01 1.70183934740141e-01 8.38942517631967e-02 5.20817692274179e-02 7.24059309393206e-03 4.29226520837594e-03
1.65110175635977e-01 1.74059159458564e-01 8.57943293875705e-02 5.32594190431360e-02 7.84143245548276e-03 4.64826862256230e-03
1.72610638164885e-01 1.77688296199899e-01 8.75720630955697e-02 5.43609242103959e-02 8.46078594450948e-03 5.01521019689053e-03
1.80111100693793e-01 1.81080102423824e-01 8.92317625851372e-02 5.53889588502755e-02 9.09816708336305e-03 5.39279823069414e-03
1.87611563222701e-01 1.84243011475915e-01 9.07775789818097e-02 5.63460988699520e-02 9.75310857910176e-03 5.78075231489531e-03
1.95112025751609e-01 1.87185144174904e-01 9.22135104917214e-02 5.72348254610435e-02 1.04251614663411e-02 6.17880282618475e-03
2.02612488280518e-01 1.89914320084319e-01 9.35434079022877e-02 5.80575285039992e-02 1.11138942824958e-02 6.58669044029273e-03
2.10112950809426e-01 1.92438068466378e-01 9.47709799293405e-02 5.88165098777419e-02 1.18188922747142e-02 7.00416566394334e-03
2.17613413338334e-01 1.94763638917418e-01 9.58997984102004e-02 5.95139866742137e-02 1.25397566377642e-02 7.43098838506103e-03
2.25113875867242e-01 1.96898011685427e-01 9.69333033427957e-02 6.01520943178616e-02 1.32761037821009e-02 7.86692744077877e-03
2.32614338396150e-01 1.98847907671313e-01 9.78748077714889e-02 6.07328895904455e-02 1.40275646313195e-02 8.31176020278311e-03
2.40114800925058e-01 2.00619798116536e-01 9.87275025207492e-02 6.12583535618482e-02 1.47937839481812e-02 8.76527217952008e-03
2.47615263453966e-01 2.02219913980521e-01 9.94944607782301e-02 6.17303944278276e-02 1.55744196883874e-02 9.22725663477807e-03
2.55115725982874e-01 2.03654255012029e-01 1.00178642529166e-01 6.21508502558776e-02 1.63691423812665e-02 9.69751422215930e-03
2.62616188511782e-01 2.04928598519250e-01 1.00782898844315e-01 6.25214916405539e-02 1.71776345365406e-02 1.01758526349490e-02
2.70116651040690e-01 2.06048507843892e-01 1.01309976023937e-01 6.28440242697882e-02 1.79995900763339e-02 1.06620862708915e-02
2.77617113569598e-01 2.07019340545022e-01 1.01762519600510e-01 6.31200914038520e-02 1.88347137915920e-02 1.11560359113848e-02
2.85117576098506e-01 2.07846256298715e-01 1.02143078203089e-01 6.33512762687438e-02 1.96827208220872e-02 1.16575284146081e-02
2.92618038627414e-01 2.08534224519919e-01 1.02454107286344e-01 6.35391043658740e-02 2.05433361591941e-02 1.21663964221024e-02
3.00118501156322e-01 2.09088031713125e-01 1.02697972727437e-01 6.36850456999896e-02 2.14162941706299e-02 1.26824780783311e-02
3.07618963685230e-01 2.09512288558670e-01 1.02876954294010e-01 6.37905169273493e-02 2.23013381463697e-02 1.32056167627543e-02
3.15119426214138e-01 2.09811436741565e-01 1.02993248986601e-01 6.38568834261967e-02 2.31982198649576e-02 1.37356608339596e-02
3.22619888743046e-01 2.09989755529904e-01 1.03048974258879e-01 6.38854612916150e-02 2.41066991794555e-02 1.42724633854000e-02
3.30120351271954e-01 2.10051368109902e-01 1.03046171119094e-01 6.38775192568667e-02 2.50265436222829e-02 1.48158820123024e-02
3.37620813800863e-01 2.10000247684669e-01 1.02986807116178e-01 6.38342805433288e-02 2.59575280282228e-02 1.53657785893161e-02
3.45121276329771e-01 2.09840223343795e-01 1.02872779213917e-01 6.37569246411387e-02 2.68994341748853e-02 1.59220190584856e-02
3.52621738858679e-01 2.09574985710818e-01 1.02705916556603e-01 6.36465890226545e-02 2.78520504399396e-02 1.64844732271403e-02
3.60122201387587e-01 2.09208092375548e-01 1.02487983129563e-01 6.35043707908237e-02 2.88151714744454e-02 1.70530145753062e-02
3.67622663916495e-01 2.08742973118182e-01 1.02220680317908e-01 6.33313282645313e-02 2.97885978916317e-02 1.76275200722556e-02
