# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.00000000000000E-04  -1.00000000000000E+04  -2.99949281402174E+04
  7.60046252890806E-03  -1.31570940083783E+02  -3.89642192436590E+02
  1.51009250578161E-02  -6.62211087182641E+01  -1.93596239139626E+02
  2.26013875867242E-02  -4.42450710675565E+01  -1.27673845523639E+02
  3.01018501156322E-02  -3.32205494399392E+01  -9.46080540722284E+01
  3.76023126445403E-02  -2.65941089701885E+01  -7.47384413592413E+01
  4.51027751734483E-02  -2.21715847008166E+01  -6.14823990590285E+01
  5.26032377023564E-02  -1.90102367017459E+01  -5.20115990813555E+01
  6.01037002312645E-02  -1.66379107467967E+01  -4.49094753857481E+01
  6.76041627601725E-02  -1.47919885280959E+01  -3.93880744182316E+01
  7.51046252890806E-02  -1.33147591929387E+01  -3.49741695237260E+01
  8.26050878179886E-02  -1.21057918636125E+01  -3.13663783152997E+01
  9.01055503468967E-02  -1.10980954685933E+01  -2.83636419851942E+01
  9.76060128758047E-02  -1.02452704555447E+01  -2.58266802686132E+01
  1.05106475404713E-01  -9.51416167414517E+00  -2.36559499240622E+01
  1.12606937933621E-01  -8.88044749595692E+00  -2.17784119315999E+01
  1.20107400462529E-01  -8.32588163717672E+00  -2.01392568062542E+01
  1.27607862991437E-01  -7.83650769284573E+00  -1.86965480520793E+01
  1.35108325520345E-01  -7.40146838582066E+00  -1.74176497665112E+01
  1.42608788049253E-01  -7.01219057870843E+00  -1.62767815393916E+01
  1.50109250578161E-01  -6.66181461934156E+00  -1.52533063581644E+01
  1.57609713107069E-01  -6.34478662695534E+00  -1.43305073405062E+01
  1.65110175635977E-01  -6.05656190569821E+00  -1.34946978540780E+01
  1.72610638164885E-01  -5.79338568370714E+00  -1.27345636178860E+01
  1.80111100693793E-01  -5.55212863698001E+00  -1.20406691627577E+01
  1.87611563222701E-01  -5.33016186647816E+00  -1.14050826560412E+01
  1.95112025751609E-01  -5.12526071187978E+00  -1.08210872406139E+01
  2.02612488280518E-01  -4.93552992950512E+00  -1.02829564705869E+01
  2.10112950809426E-01  -4.75934489591272E+00  -9.78577782803987E+00
  2.17613413338334E-01  -4.59530497067869E+00  -9.32531272116016E+00
  2.25113875867242E-01  -4.44219618247672E+00  -8.89788445598820E+00
  2.32614338396150E-01  -4.29896113410244E+00  -8.50028786855053E+00
  2.40114800925058E-01  -4.16467454795554E+00  -8.12971588178079E+00
  2.47615263453966E-01  -4.03852325600239E+00  -7.78369939915944E+00
  2.55115725982874E-01  -3.91978971953744E+00  -7.46005779089745E+00
  2.62616188511782E-01  -3.80783837305268E+00  -7.15685785546519E+00
  2.70116651040690E-01  -3.70210424328621E+00  -6.87237960955959E+00
  2.77617113569598E-01  -3.60208341316574E+00  -6.60508761554077E+00
  2.85117576098506E-01  -3.50732499091710E+00  -6.35360682703695E+00
  2.92618038627414E-01  -3.41742431427231E+00  -6.11670214241434E+00
  3.00118501156322E-01  -3.33201717370677E+00  -5.89326101779766E+00
  3.07618963685230E-01  -3.25077488078156E+00  -5.68227861777053E+00
  3.15119426214138E-01  -3.17340004078471E+00  -5.48284508124238E+00
  3.22619888743046E-01  -3.09962291505363E+00  -5.29413455853711E+00
  3.30120351271954E-01  -3.02919827919423E+00  -5.11539573826263E+00
  3.37620813800863E-01  -2.96190270008005E+00  -4.94594363252704E+00
  3.45121276329771E-01  -2.89753216792256E+00  -4.78515242929377E+00
  3.52621738858679E-01  -2.83590003054455E+00  -4.63244925319438E+00
  3.60122201387587E-01  -2.77683518579777E+00  -4.48730870254702E+00
  3.67622663916495E-01  -2.72018049525681E+00  -4.34924805190583E+00
  3.75123126445403E-01  -2.66579138821916E+00  -4.21782302716127E+00
  3.82623588974311E-01  -2.61353462989742E+00  -4.09262407478418E+00
  3.90124051503219E-01  -2.56328723170699E+00  -3.97327305885885E+00
  3.97624514032127E-01  -2.51493548488613E+00  -3.85942032955620E+00
  4.05124976561035E-01  -2.46837410146531E+00  -3.75074211503766E+00
  4.12625439089943E-01  -2.42350544892610E+00  -3.64693819575569E+00
  4.20125901618851E-01  -2.38023886684146E+00  -3.54772982597154E+00
  4.27626364147759E-01  -2.33849005543182E+00  -3.45285787224167E+00
  4.35126826676667E-01  -2.29818052735939E+00  -3.36208114279075E+00
  4.42627289205575E-01  -2.25923711525964E+00  -3.27517488521967E+00
  4.50127751734483E-01  -2.22159152850871E+00  -3.19192943299907E+00
  4.57628214263391E-01  -2.18517995357787E+00  -3.11214898375791E+00
  4.65128676792299E-01  -2.14994269305512E+00  -3.03565049456430E+00
  4.72629139321208E-01  -2.11582383903837E+00  -2.96226268127192E+00
  4.80129601850116E-01  -2.08277097714166E+00  -2.89182511061679E+00
  4.87630064379024E-01  -2.05073491781820E+00  -2.82418737513880E+00
  4.95130526907932E-01  -2.01966945210378E+00  -2.75920834220178E+00
  5.02630989436840E-01  -1.98953112922947E+00  -2.69675546942518E+00
  5.10131451965748E-01  -1.96027905385286E+00  -2.63670417974143E+00
  5.17631914494656E-01  -1.93187470091805E+00  -2.57893729007769E+00
  5.25132377023564E-01  -1.90428174638169E+00  -2.52334448834353E+00
  5.32632839552472E-01  -1.87746591224120E+00  -2.46982185400340E+00
  5.40133302081380E-01  -1.85139482447489E+00  -2.41827141803505E+00
  5.47633764610288E-01  -1.82603788265617E+00  -2.36860075853292E+00
  5.55134227139196E-01  -1.80136614013759E+00  -2.32072262861847E+00
  5.62634689668104E-01  -1.77735219381851E+00  -2.27455461367325E+00
  5.70135152197012E-01  -1.75397008261376E+00  -2.23001881522330E+00
  5.77635614725920E-01  -1.73119519383251E+00  -2.18704155907922E+00
  5.85136077254828E-01  -1.70900417675750E+00  -2.14555312558063E+00
  5.92636539783736E-01  -1.68737486278676E+00  -2.10548750001012E+00
  6.00137002312645E-01  -1.66628619156371E+00  -2.06678214143405E+00
  6.07637464841553E-01  -1.64571814257826E+00  -2.02937776839839E+00
  6.15137927370461E-01  -1.62565167177175E+00  -1.99321816006011E+00
  6.22638389899369E-01  -1.60606865272413E+00  -1.95824997147023E+00
  6.30138852428277E-01  -1.58695182204119E+00  -1.92442256184608E+00
  6.37639314957185E-01  -1.56828472859636E+00  -1.89168783477863E+00
  6.45139777486093E-01  -1.55005168631314E+00  -1.86000008941810E+00
  6.52640240015001E-01  -1.53223773020342E+00  -1.82931588176798E+00
  6.60140702543909E-01  -1.51482857540281E+00  -1.79959389529616E+00
  6.67641165072817E-01  -1.49781057896712E+00  -1.77079482014213E+00
  6.75141627601725E-01  -1.48117070421543E+00  -1.74288124026258E+00
  6.82642090130633E-01  -1.46489648742379E+00  -1.71581752791493E+00
  6.90142552659541E-01  -1.44897600669078E+00  -1.68956974493012E+00
  6.97643015188449E-01  -1.43339785281141E+00  -1.66410555027235E+00
  7.05143477717357E-01  -1.41815110200995E+00  -1.63939411342577E+00
  7.12643940246265E-01  -1.40322529039458E+00  -1.61540603318649E+00
  7.20144402775173E-01  -1.38861039000840E+00  -1.59211326147287E+00
  7.27644865304081E-01  -1.37429678636171E+00  -1.56948903179836E+00
  7.35145327832990E-01  -1.36027525733957E+00  -1.54750779208013E+00
  7.42645790361898E-01  -1.34653695338755E+00  -1.52614514148248E+00
  7.50146252890806E-01  -1.33307337888624E+00  -1.50537777101780E+00
  7.57646715419714E-01  -1.31987637463198E+00  -1.48518340764966E+00
  7.65147177948622E-01  -1.30693810134806E+00  -1.46554076166193E+00
  7.72647640477530E-01  -1.29425102415631E+00  -1.44642947707638E+00
  7.80148103006438E-01  -1.28180789794441E+00  -1.42783008491715E+00
  7.87648565535346E-01  -1.26960175356928E+00  -1.40972395913605E+00
  7.95149028064254E-01  -1.25762588484129E+00  -1.39209327502607E+00
  8.02649490593162E-01  -1.24587383623828E+00  -1.37492096996338E+00
  8.10149953122070E-01  -1.23433939130195E+00  -1.35819070632975E+00
  8.17650415650978E-01  -1.22301656167305E+00  -1.34188683647764E+00
  8.25150878179886E-01  -1.21189957672444E+00  -1.32599436961058E+00
  8.32651340708794E-01  -1.20098287375452E+00  -1.31049894046003E+00
  8.40151803237702E-01  -1.19026108870598E+00  -1.29538677964839E+00
  8.47652265766610E-01  -1.17972904737724E+00  -1.28064468563550E+00
  8.55152728295518E-01  -1.16938175709641E+00  -1.26625999815306E+00
  8.62653190824426E-01  -1.15921439882963E+00  -1.25222057303780E+00
  8.70153653353334E-01  -1.14922231969753E+00  -1.23851475838036E+00
  8.77654115882243E-01  -1.13940102587541E+00  -1.22513137191233E+00
  8.85154578411151E-01  -1.12974617585439E+00  -1.21205967955920E+00
  8.92655040940059E-01  -1.12025357404233E+00  -1.19928937509142E+00
  9.00155503468967E-01  -1.11091916468461E+00  -1.18681056081057E+00
  9.07655965997875E-01  -1.10173902608639E+00  -1.17461372921145E+00
  9.15156428526783E-01  -1.09270936511892E+00  -1.16268974556477E+00
  9.22656891055691E-01  -1.08382651199387E+00  -1.15102983136869E+00
  9.30157353584599E-01  -1.07508691529046E+00  -1.13962554862069E+00
  9.37657816113507E-01  -1.06648713722123E+00  -1.12846878486433E+00
