# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.00000000000000e-04  -1.00000000000000e+04  -2.99949281402174e+04
  7.60046252890806e-03  -1.31570940083783e+02  -3.89642192436590e+02
  1.51009250578161e-02  -6.62211087182641e+01  -1.93596239139626e+02
  2.26013875867242e-02  -4.42450710675565e+01  -1.27673845523639e+02
  3.01018501156322e-02  -3.32205494399392e+01  -9.46080540722284e+01
  3.76023126445403e-02  -2.65941089701885e+01  -7.47384413592413e+01
  4.51027751734483e-02  -2.21715847008166e+01  -6.14823990590285e+01
  5.26032377023564e-02  -1.90102367017459e+01  -5.20115990813555e+01
  6.01037002312645e-02  -1.66379107467967e+01  -4.49094753857481e+01
  6.76041627601725e-02  -1.47919885280959e+01  -3.93880744182316e+01
  7.51046252890806e-02  -1.33147591929387e+01  -3.49741695237260e+01
  8.26050878179886e-02  -1.21057918636125e+01  -3.13663783152997e+01
  9.01055503468967e-02  -1.10980954685933e+01  -2.83636419851942e+01
  9.76060128758047e-02  -1.02452704555447e+01  -2.58266802686132e+01
  1.05106475404713e-01  -9.51416167414517e+00  -2.36559499240622e+01
  1.12606937933621e-01  -8.88044749595692e+00  -2.17784119315999e+01
  1.20107400462529e-01  -8.32588163717672e+00  -2.01392568062542e+01
  1.27607862991437e-01  -7.83650769284573e+00  -1.86965480520793e+01
  1.35108325520345e-01  -7.40146838582066e+00  -1.74176497665112e+01
  1.42608788049253e-01  -7.01219057870843e+00  -1.62767815393916e+01
  1.50109250578161e-01  -6.66181461934156e+00  -1.52533063581644e+01
  1.57609713107069e-01  -6.34478662695534e+00  -1.43305073405062e+01
  1.65110175635977e-01  -6.05656190569821e+00  -1.34946978540780e+01
  1.72610638164885e-01  -5.79338568370714e+00  -1.27345636178860e+01
  1.80111100693793e-01  -5.55212863698001e+00  -1.20406691627577e+01
  1.87611563222701e-01  -5.33016186647816e+00  -1.14050826560412e+01
  1.95112025751609e-01  -5.12526071187978e+00  -1.08210872406139e+01
  2.02612488280518e-01  -4.93552992950512e+00  -1.02829564705869e+01
  2.10112950809426e-01  -4.75934489591272e+00  -9.78577782803987e+00
  2.17613413338334e-01  -4.59530497067869e+00  -9.32531272116016e+00
  2.25113875867242e-01  -4.44219618247672e+00  -8.89788445598820e+00
  2.32614338396150e-01  -4.29896113410244e+00  -8.50028786855053e+00
  2.40114800925058e-01  -4.16467454795554e+00  -8.12971588178079e+00
  2.47615263453966e-01  -4.03852325600239e+00  -7.78369939915944e+00
  2.55115725982874e-01  -3.91978971953744e+00  -7.46005779089745e+00
  2.62616188511782e-01  -3.80783837305268e+00  -7.15685785546519e+00
  2.70116651040690e-01  -3.70210424328621e+00  -6.87237960955959e+00
  2.77617113569598e-01  -3.60208341316574e+00  -6.60508761554077e+00
  2.85117576098506e-01  -3.50732499091710e+00  -6.35360682703695e+00
  2.92618038627414e-01  -3.41742431427231e+00  -6.11670214241434e+00
  3.00118501156322e-01  -3.33201717370677e+00  -5.89326101779766e+00
  3.07618963685230e-01  -3.25077488078156e+00  -5.68227861777053e+00
  3.15119426214138e-01  -3.17340004078471e+00  -5.48284508124238e+00
  3.22619888743046e-01  -3.09962291505363e+00  -5.29413455853711e+00
  3.30120351271954e-01  -3.02919827919423e+00  -5.11539573826263e+00
  3.37620813800863e-01  -2.96190270008005e+00  -4.94594363252704e+00
  3.45121276329771e-01  -2.89753216792256e+00  -4.78515242929377e+00
  3.52621738858679e-01  -2.83590003054455e+00  -4.63244925319438e+00
  3.60122201387587e-01  -2.77683518579777e+00  -4.48730870254702e+00
  3.67622663916495e-01  -2.72018049525681e+00  -4.34924805190583e+00
  3.75123126445403e-01  -2.66579138821916e+00  -4.21782302716127e+00
  3.82623588974311e-01  -2.61353462989742e+00  -4.09262407478418e+00
  3.90124051503219e-01  -2.56328723170699e+00  -3.97327305885885e+00
  3.97624514032127e-01  -2.51493548488613e+00  -3.85942032955620e+00
  4.05124976561035e-01  -2.46837410146531e+00  -3.75074211503766e+00
  4.12625439089943e-01  -2.42350544892610e+00  -3.64693819575569e+00
  4.20125901618851e-01  -2.38023886684146e+00  -3.54772982597154e+00
  4.27626364147759e-01  -2.33849005543182e+00  -3.45285787224167e+00
  4.35126826676667e-01  -2.29818052735939e+00  -3.36208114279075e+00
  4.42627289205575e-01  -2.25923711525964e+00  -3.27517488521967e+00
  4.50127751734483e-01  -2.22159152850871e+00  -3.19192943299907e+00
  4.57628214263391e-01  -2.18517995357787e+00  -3.11214898375791e+00
  4.65128676792299e-01  -2.14994269305512e+00  -3.03565049456430e+00
  4.72629139321208e-01  -2.11582383903837e+00  -2.96226268127192e+00
  4.80129601850116e-01  -2.08277097714166e+00  -2.89182511061679e+00
  4.87630064379024e-01  -2.05073491781820e+00  -2.82418737513880e+00
  4.95130526907932e-01  -2.01966945210378e+00  -2.75920834220178e+00
  5.02630989436840e-01  -1.98953112922947e+00  -2.69675546942518e+00
  5.10131451965748e-01  -1.96027905385286e+00  -2.63670417974143e+00
  5.17631914494656e-01  -1.93187470091805e+00  -2.57893729007769e+00
  5.25132377023564e-01  -1.90428174638169e+00  -2.52334448834353e+00
  5.32632839552472e-01  -1.87746591224120e+00  -2.46982185400340e+00
  5.40133302081380e-01  -1.85139482447489e+00  -2.41827141803505e+00
  5.47633764610288e-01  -1.82603788265617e+00  -2.36860075853292e+00
  5.55134227139196e-01  -1.80136614013759e+00  -2.32072262861847e+00
  5.62634689668104e-01  -1.77735219381851e+00  -2.27455461367325e+00
  5.70135152197012e-01  -1.75397008261376e+00  -2.23001881522330e+00
  5.77635614725920e-01  -1.73119519383251e+00  -2.18704155907922e+00
  5.85136077254828e-01  -1.70900417675750e+00  -2.14555312558063e+00
  5.92636539783736e-01  -1.68737486278676e+00  -2.10548750001012e+00
  6.00137002312645e-01  -1.66628619156371e+00  -2.06678214143405e+00
  6.07637464841553e-01  -1.64571814257826e+00  -2.02937776839839e+00
  6.15137927370461e-01  -1.62565167177175e+00  -1.99321816006011e+00
  6.22638389899369e-01  -1.60606865272413e+00  -1.95824997147023e+00
  6.30138852428277e-01  -1.58695182204119e+00  -1.92442256184608e+00
  6.37639314957185e-01  -1.56828472859636e+00  -1.89168783477863e+00
  6.45139777486093e-01  -1.55005168631314e+00  -1.86000008941810e+00
  6.52640240015001e-01  -1.53223773020342e+00  -1.82931588176798e+00
  6.60140702543909e-01  -1.51482857540281e+00  -1.79959389529616e+00
  6.67641165072817e-01  -1.49781057896712e+00  -1.77079482014213e+00
  6.75141627601725e-01  -1.48117070421543e+00  -1.74288124026258e+00
  6.82642090130633e-01  -1.46489648742379e+00  -1.71581752791493e+00
  6.90142552659541e-01  -1.44897600669078e+00  -1.68956974493012e+00
  6.97643015188449e-01  -1.43339785281141e+00  -1.66410555027235e+00
  7.05143477717357e-01  -1.41815110200995e+00  -1.63939411342577e+00
  7.12643940246265e-01  -1.40322529039458e+00  -1.61540603318649e+00
  7.20144402775173e-01  -1.38861039000840e+00  -1.59211326147287e+00
  7.27644865304081e-01  -1.37429678636171e+00  -1.56948903179836e+00
  7.35145327832990e-01  -1.36027525733957e+00  -1.54750779208013e+00
  7.42645790361898e-01  -1.34653695338755e+00  -1.52614514148248e+00
  7.50146252890806e-01  -1.33307337888624e+00  -1.50537777101780e+00
  7.57646715419714e-01  -1.31987637463198e+00  -1.48518340764966e+00
  7.65147177948622e-01  -1.30693810134806e+00  -1.46554076166193e+00
  7.72647640477530e-01  -1.29425102415631e+00  -1.44642947707638e+00
  7.80148103006438e-01  -1.28180789794441e+00  -1.42783008491715e+00
  7.87648565535346e-01  -1.26960175356928e+00  -1.40972395913605e+00
  7.95149028064254e-01  -1.25762588484129e+00  -1.39209327502607e+00
  8.02649490593162e-01  -1.24587383623828e+00  -1.37492096996338e+00
  8.10149953122070e-01  -1.23433939130195e+00  -1.35819070632975e+00
  8.17650415650978e-01  -1.22301656167305e+00  -1.34188683647764e+00
  8.25150878179886e-01  -1.21189957672444e+00  -1.32599436961058e+00
  8.32651340708794e-01  -1.20098287375452e+00  -1.31049894046003e+00
  8.40151803237702e-01  -1.19026108870598e+00  -1.29538677964839e+00
  8.47652265766610e-01  -1.17972904737724e+00  -1.28064468563550e+00
  8.55152728295518e-01  -1.16938175709641e+00  -1.26625999815306e+00
  8.62653190824426e-01  -1.15921439882963e+00  -1.25222057303780e+00
  8.70153653353334e-01  -1.14922231969753e+00  -1.23851475838036e+00
  8.77654115882243e-01  -1.13940102587541e+00  -1.22513137191233e+00
  8.85154578411151e-01  -1.12974617585439e+00  -1.21205967955920e+00
  8.92655040940059e-01  -1.12025357404233e+00  -1.19928937509142e+00
  9.00155503468967e-01  -1.11091916468461e+00  -1.18681056081057e+00
  9.07655965997875e-01  -1.10173902608639e+00  -1.17461372921145e+00
  9.15156428526783e-01  -1.09270936511892e+00  -1.16268974556477e+00
  9.22656891055691e-01  -1.08382651199387e+00  -1.15102983136869e+00
  9.30157353584599e-01  -1.07508691529046e+00  -1.13962554862069e+00
  9.37657816113507e-01  -1.06648713722123e+00  -1.12846878486433e+00
