# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  1.00000000000000E-04   7.77879270562456E-02   3.84132830094440E-02   2.38661342840078E-02   9.21913238101776E-04   5.46714296127076E-04
  5.46702137335152E-02   1.32521478092732E-01   6.54172095278066E-02   4.06390182136683E-02   3.41414123871775E-03   2.02443054048324E-03
  1.09240427467030E-01   1.69552922602134E-01   8.36408161602973E-02   5.19494379255623E-02   7.15634511790389E-03   4.24248013461367E-03
  1.63810641200546E-01   1.92988835884542E-01   9.51040890955876E-02   5.90509290631604E-02   1.19128464086601E-02   7.06006149787588E-03
  2.18380854934061E-01   2.05957828492618E-01   1.01348327954970E-01   6.29004257238460E-02   1.75087325431206E-02   1.03721494725157E-02
  2.72951068667576E-01   2.10837923043667E-01   1.03547175058838E-01   6.42270075533463E-02   2.38123536518863E-02   1.40991666769797E-02
  3.27521282401091E-01   2.09438929631548E-01   1.02595829740407E-01   6.35871694173937E-02   3.07224832914347E-02   1.81794056941604E-02
  3.82091496134607E-01   2.03143905744071E-01   9.91803298217775E-02   6.14077576435388E-02   3.81590672462136E-02   2.25635705883980E-02
  4.36661709868122E-01   1.93016625181774E-01   9.38302253964161E-02   5.80186210917685E-02   4.60566745982967E-02   2.72109161398303E-02
  4.91231923601637E-01   1.79882157748499E-01   8.69580887049573E-02   5.36771048465263E-02   5.43599389515059E-02   3.20865645633315E-02
  5.45802137335152E-01   1.64386792456719E-01   7.88888967930715E-02   4.85862655235923E-02   6.30204385341205E-02   3.71596738822648E-02
  6.00372351068668E-01   1.47042383587860E-01   6.98817690729829E-02   4.29083454468424E-02   7.19946003009253E-02   4.24022124408858E-02
  6.54942564802183E-01   1.28259090461212E-01   6.01460044227039E-02   3.67747108671410E-02   8.12423220697511E-02   4.77881583097436E-02
  7.09512778535698E-01   1.08369537412088E-01   4.98529024831791E-02   3.02931748080394E-02   9.07260904764142E-02   5.32929918416334E-02
  7.64082992269213E-01   8.76466635105379E-02   3.91444839935478E-02   2.35533961009704E-02   1.00410435387013E-01   5.88933868410172E-02
  8.18653206002729E-01   6.63169457535672E-02   2.81399381528030E-02   1.66308684055357E-02   1.10261607813542E-01   6.45670333127810E-02
  8.73223419736244E-01   4.45702359115400E-02   1.69404073905623E-02   9.58987807857854E-03   1.20247402234762E-01   7.02925448422912E-02
  9.27793633469759E-01   2.25671200721069E-02   5.63255721520068E-03   2.48570881079886E-03   1.30337068685489E-01   7.60494181844056E-02
  9.82363847203274E-01   4.44465026081986E-04  -5.70874169631242E-03  -4.63370384041960E-03   1.40501277494175E-01   8.18180230488271E-02
  1.03693406093679E+00  -2.16803643255940E-02  -1.70183806591686E-02  -1.17265199375823E-02   1.50712111977529E-01   8.75796074595067E-02
  1.09150427467030E+00  -4.37062640294038E-02  -2.82394558091992E-02  -1.87560369067540E-02   1.60943073128525E-01   9.33163092571086E-02
  1.14607448840382E+00  -6.55458701151360E-02  -3.93220604034894E-02  -2.56899472131922E-02   1.71169086386840E-01   9.90111679139982E-02
  1.20064470213734E+00  -8.71235710054983E-02  -5.02223348990224E-02  -3.24997550796942E-02   1.81366504713450E-01   1.04648133288883E-01
  1.25521491587085E+00  -1.08373917467443E-01  -6.09017081873720E-02  -3.91603109369453E-02   1.91513104956585E-01   1.10212069591596E-01
  1.30978512960437E+00  -1.29240331119493E-01  -7.13262815562438E-02  -4.56494335989390E-02   2.01588076297256E-01   1.15688753897210E-01
  1.36435534333788E+00  -1.49674039227898E-01  -8.14663201341290E-02  -5.19475983479724E-02   2.11572000691182E-01   1.21064869216721E-01
  1.41892555707140E+00  -1.69633182889706E-01  -9.12958261219609E-02  -5.80376750435550E-02   2.21446825890671E-01   1.26327992524333E-01
  1.47349577080491E+00  -1.89082059734513E-01  -1.00792175024623E-01  -6.39047046587916E-02   2.31195831985479E-01   1.31466578348904E-01
  1.52806598453843E+00  -2.07990472448741E-01  -1.09935801092960E-01  -6.95357057486961E-02   2.40803592552611E-01   1.36469938622920E-01
