# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.00000000000000E-04  -1.00000000000000E+04  -2.99949281402174E+04
  5.46702137335152E-02  -1.82914960763535E+01  -4.98593142636644E+01
  1.09240427467030E-01  -9.15412016583153E+00  -2.25887151182423E+01
  1.63810641200546E-01  -6.10460952152520E+00  -1.36338002824496E+01
  2.18380854934061E-01  -4.57915599012535E+00  -9.28011895970843E+00
  2.72951068667576E-01  -3.66366032154242E+00  -6.76942757096694E+00
  3.27521282401091E-01  -3.05323670165462E+00  -5.17624755671646E+00
  3.82091496134607E-01  -2.61717418502219E+00  -4.10130886071212E+00
  4.36661709868122E-01  -2.29010233185322E+00  -3.34398886150020E+00
  4.91231923601637E-01  -2.03569831673022E+00  -2.79265979333022E+00
  5.45802137335152E-01  -1.83216578242519E+00  -2.38056175170128E+00
  6.00372351068668E-01  -1.66563299962097E+00  -2.06558900154943E+00
  6.54942564802183E-01  -1.52685144277046E+00  -1.82009199991108E+00
  7.09512778535698E-01  -1.40941788541683E+00  -1.62533403002275E+00
  7.64082992269213E-01  -1.30875835494015E+00  -1.46829490373323E+00
  8.18653206002729E-01  -1.22151845576070E+00  -1.33973855501881E+00
  8.73223419736244E-01  -1.14518229515884E+00  -1.23299888968958E+00
  9.27793633469759E-01  -1.07782589136789E+00  -1.14319244310499E+00
  9.82363847203274E-01  -1.01795277060219E+00  -1.06669429390978E+00
  1.03693406093679E+00  -9.64381475806261E-01  -1.00078152153269E+00
  1.09150427467030E+00  -9.16166819687496E-01  -9.43386150411329E-01
  1.14607448840382E+00  -8.72543634919173E-01  -8.92921263919198E-01
  1.20064470213734E+00  -8.32885863919479E-01  -8.48156960470904E-01
  1.25521491587085E+00  -7.96676320011872E-01  -8.08130821695493E-01
  1.30978512960437E+00  -7.63484007718167E-01  -7.72082617452498E-01
  1.36435534333788E+00  -7.32946885782344E-01  -7.39406241855759E-01
  1.41892555707140E+00  -7.04758607677741E-01  -7.09614032131885E-01
  1.47349577080491E+00  -6.78658208468247E-01  -6.82310071527108E-01
  1.52806598453843E+00  -6.54422001483178E-01  -6.57170066328066E-01
  1.58263619827194E+00  -6.31857151436247E-01  -6.33926070988593E-01
  1.63720641200546E+00  -6.10796532842230E-01  -6.12354814111350E-01
  1.69177662573897E+00  -5.91094583519971E-01  -5.92268716754525E-01
  1.74634683947249E+00  -5.72623935519055E-01  -5.73508936455231E-01
  1.80091705320600E+00  -5.55272658571251E-01  -5.55939944610294E-01
  1.85548726693952E+00  -5.38941989965483E-01  -5.39445271316628E-01
  1.91005748067303E+00  -5.23544453566726E-01  -5.23924144184976E-01
  1.96462769440655E+00  -5.09002292315781E-01  -5.09288815594690E-01
  2.01919790814006E+00  -4.95246154905700E-01  -4.95462423115684E-01
  2.07376812187358E+00  -4.82213989815088E-01  -4.82377265194814E-01
  2.12833833560709E+00  -4.69850109482126E-01  -4.69973402133128E-01
  2.18290854934061E+00  -4.58104394846073E-01  -4.58197513353683E-01
  2.23747876307412E+00  -4.46931616292115E-01  -4.47001957782344E-01
  2.29204897680764E+00  -4.36290851599863E-01  -4.36343996154663E-01
  2.34661919054116E+00  -4.26144985104886E-01  -4.26185143188763E-01
  2.40118940427467E+00  -4.16460275153542E-01  -4.16490624541513E-01
  2.45575961800819E+00  -4.07205979228162E-01  -4.07228918822658E-01
  2.51032983174170E+00  -3.98354027966989E-01  -3.98371369073100E-01
  2.56490004547522E+00  -3.89878740796982E-01  -3.89891851313935E-01
  2.61947025920873E+00  -3.81756577111157E-01  -3.81766490262993E-01
  2.67404047294225E+00  -3.73965917912865E-01  -3.73973414262142E-01
  2.72861068667576E+00  -3.66486873661808E-01  -3.66492542987221E-01
  2.78318090040928E+00  -3.59301114725581E-01  -3.59305402718606E-01
